,Date,Change_Target_Rate
0,2000-01-19,
1,2000-03-08,0.25
2,2000-05-03,0.25
3,2000-06-14,0.5
4,2000-08-09,0.0
5,2000-09-20,0.0
6,2000-12-06,0.0
7,2001-01-17,-0.5
8,2001-03-07,-0.5
9,2001-05-02,-1.0
10,2001-06-13,-0.5
11,2001-08-08,-0.25
12,2001-09-19,-0.75
13,2001-10-24,-0.5
14,2001-11-28,-0.5
15,2002-01-16,-0.25
16,2002-06-12,0.0
17,2002-07-31,0.0
18,2002-10-23,0.0
19,2002-11-27,-0.5
20,2003-01-15,0.0
21,2004-01-14,-0.25
22,2004-03-03,0.0
23,2004-04-21,0.0
24,2004-06-16,0.0
25,2004-07-28,0.25
26,2004-09-08,0.25
27,2004-10-27,0.25
28,2007-01-17,3.5
29,2007-03-07,0.0
30,2007-04-25,0.0
31,2007-06-13,0.0
32,2007-07-25,0.0
33,2007-09-05,0.0
34,2007-10-17,-0.5
35,2007-11-28,-0.25
36,2008-01-16,-0.25
37,2008-03-05,-1.25
38,2008-04-16,-0.75
39,2008-07-23,-0.25
40,2008-09-03,0.0
41,2008-10-15,-0.5
42,2008-12-03,-0.5
43,2009-01-14,-0.75
44,2009-03-04,0.0
45,2009-04-15,0.0
46,2009-06-10,0.0
47,2009-07-29,0.0
48,2009-09-09,0.0
49,2009-10-21,0.0
50,2009-12-02,0.0
51,2010-03-03,0.0
52,2010-04-14,0.0
53,2010-06-09,0.0
54,2010-07-28,0.0
55,2010-09-08,0.0
56,2010-10-20,0.0
57,2011-01-01,0.0
58,2011-04-01,0.0
59,2011-06-01,0.0
60,2011-07-01,0.0
61,2011-09-01,0.0
62,2011-10-01,0.0
63,2011-11-01,0.0
64,2012-01-01,0.0
65,2012-02-01,0.0
66,2012-04-01,0.0
67,2012-06-01,0.0
68,2012-07-01,0.0
69,2012-08-01,0.0
70,2012-10-01,0.0
71,2012-11-01,0.0
72,2013-01-01,0.0
73,2013-03-01,0.0
74,2013-04-01,0.0
75,2013-06-01,0.0
76,2013-07-01,0.0
77,2013-09-01,0.0
78,2013-10-01,0.0
79,2013-12-01,0.0
80,2014-01-01,0.0
81,2014-03-01,0.0
82,2014-04-01,0.0
83,2014-06-01,0.0
84,2014-07-01,0.0
85,2014-09-01,0.0
86,2014-10-01,0.0
87,2014-12-01,0.0
88,2015-01-01,0.0
89,2015-04-01,0.0
90,2015-06-01,0.0
91,2015-07-01,0.0
92,2015-09-01,0.0
93,2015-10-01,0.0
94,2015-12-01,0.0
95,2016-01-01,0.25
96,2016-03-01,0.0
97,2016-04-01,0.0
98,2016-06-01,0.0
99,2016-07-01,0.0
100,2016-09-01,0.0
101,2016-10-01,0.0
102,2016-11-01,0.0
103,2017-01-01,0.25
104,2017-03-01,0.0
105,2017-04-01,0.25
106,2017-05-01,0.0
107,2017-07-01,0.25
108,2017-09-01,0.0
109,2017-10-01,0.0
110,2017-11-01,0.0
111,2018-01-01,0.25
112,2018-03-01,0.0
113,2018-04-01,0.25
114,2018-05-01,0.0
115,2018-07-01,0.25
116,2018-09-01,0.0
117,2018-10-01,0.25
118,2018-12-01,0.0
119,2019-01-30,0.25
120,2019-03-20,0.0
121,2019-05-01,0.0
122,2019-06-19,0.0
123,2019-07-31,0.0
124,2019-09-18,-0.25
125,2019-10-11,-0.25
126,2019-10-30,0.0
127,2019-12-11,-0.25
128,2020-01-29,0.0
129,2020-03-03,0.0
130,2020-03-15,-0.5
131,2020-03-23,-1.0
132,2020-03-31,0.0
133,2020-04-29,0.0
134,2020-06-10,0.0
135,2020-07-29,0.0
136,2020-08-27,0.0
137,2020-09-16,0.0
138,2020-11-05,0.0
139,2020-12-16,0.0
140,2021-01-27,0.0
141,2021-03-17,0.0
142,2021-04-28,0.0
143,2021-06-16,0.0
144,2021-07-28,0.0
145,2021-09-22,0.0
146,2021-11-03,0.0
147,2021-12-15,0.0
148,2022-01-26,0.0
149,2022-03-16,0.0
150,2022-05-04,0.25
151,2022-06-15,0.5
152,2022-07-27,0.75
153,2022-09-21,0.75
154,2022-11-02,0.75
155,2022-12-14,0.75
156,2023-02-01,0.5
157,2023-03-22,0.25
158,2023-05-03,0.25
159,2023-06-14,0.25
160,2023-07-26,0.0
161,2023-09-20,0.25
162,2023-11-01,0.0
163,2023-12-13,0.0
164,2024-01-31,0.0
165,2024-03-20,0.0
166,2024-05-01,0.0
167,2024-06-12,0.0
168,2024-07-31,0.0
169,2024-09-18,0.0
